date,region,location,number_of_consumer_units__in_thousands_,income_before_taxes,age_of_reference_person,persons,children_under_18,persons_65_and_over,earners,vehicles,percent_homeowner,average_annual_expenditures,food,food_at_home,cereals_and_bakery_products,x___meats__poultry__fish__and_eggs,dairy_products,fruits_and_vegetables,other_food_at_home,food_away_from_home,alcoholic_beverages,housing,shelter,owned_dwellings,rented_dwellings,other_lodging,x__utilities__fuels__and_public_services,household_operations,housekeeping_supplies,household_furnishings_and_equipment,apparel_and_services,transportation,vehicle_purchases__net_outlay_,gasoline_and_motor_oil,other_vehicle_expenses,public_and_other_transportation,health_care,entertainment,personal_care_products_and_services,reading,education,tobacco_products_and_smoking_supplies,miscellaneous,cash_contributions,personal_insurance_and_pensions,life_and_other_personal_insurance,pensions_and_social_security
2008,south,Atlanta,2125,70931,46.4,2.4,0.6,0.2,1.4,1.8,67,45941,5375,2717,389,644,279,456,949,2658,324,17072,10639,7313,2857,469,3899,915,522,1096,1580,6760,1597,2631,2171,360,2417,2045,611,81,788,212,814,1695,6167,282,5885
2005,south,All consumer units in the South,42288,54756,48.8,2.5,0.7,0.3,1.3,1.9,69,43513,5570,3073,404,748,330,493,1097,2498,358,13938,7529,5130,2028,371,3398,820,617,1575,1786,8244,3593,2213,2134,305,2691,2104,540,89,691,327,691,1736,4748,366,4382
2004,south,All consumer units in the South,41986,52066,48.4,2.5,0.6,0.3,1.3,1.9,69,40903,5404,3065,413,790,331,488,1043,2340,349,12862,6936,4719,1867,350,3108,725,561,1532,1740,7620,3366,1835,2132,288,2569,2124,525,96,662,304,587,1479,4583,406,4177
2008,south,Houston,1848,76652,46.8,2.8,0.8,0.2,1.6,1.9,66,59131,7009,3649,453,921,373,598,1305,3359,710,18866,10776,7326,2789,661,4505,1242,634,1710,2256,10843,3874,2980,3421,568,3267,2972,711,110,1041,329,1220,2233,7566,339,7227
2006,south,All consumer units in the South,42804,57216,48.8,2.5,0.7,0.3,1.3,1.9,70,45225,5715,3223,423,767,347,532,1154,2492,374,14719,8056,5536,2107,412,3550,898,627,1588,1720,8578,3428,2440,2368,342,2788,2322,568,87,726,334,689,1762,4843,305,4537
2008,west,All consumer units in the West,27011,66678,47.9,2.6,0.7,0.3,1.4,2,63,54226,6970,4081,522,882,452,766,1460,2889,524,19404,12549,7898,3951,700,3356,1146,637,1717,1866,8227,2558,2347,2649,673,3093,3197,687,131,960,268,965,1954,5981,263,5717
2009,south,Baltimore,939,84537,52,2.5,0.6,0.3,1.4,1.9,69,52815,6158,3544,487,932,326,641,1159,2614,385,20642,13293,9147,3137,1009,4276,930,613,1530,1749,6566,1937,2123,2036,471,3043,2594,701,92,1641,291,546,1622,6784,318,6466
2009,south,Atlanta,2139,70367,45.9,2.5,0.7,0.2,1.4,1.8,68,47502,5399,2938,387,705,283,509,1054,2461,365,17932,10849,7445,2990,415,4078,1142,743,1120,1668,7164,2330,2249,2148,438,2668,2230,656,71,832,213,883,1511,5911,231,5679
2009,west,All consumer units in the West,27257,66475,48.2,2.6,0.7,0.3,1.3,2,61,53220,6854,3969,525,851,415,759,1419,2886,511,19073,12307,7538,4074,694,3338,1178,631,1619,1888,7960,2566,2103,2648,644,3197,2815,654,116,1035,272,1000,1885,5959,271,5688
2010,west,All consumer units in the West,27588,67707,48.5,2.6,0.7,0.3,1.3,2,59,54112,6997,4042,536,847,428,802,1429,2955,553,19208,12215,7235,4212,768,3360,1327,633,1673,1928,8303,2584,2379,2668,673,3240,2771,697,126,1156,267,996,1850,6020,281,5739
2009,south,Houston,1837,70713,47,2.9,0.8,0.2,1.6,2,68,56764,6610,3527,438,817,351,638,1283,3083,541,19323,10903,7499,2793,612,4539,1494,618,1770,2095,9410,3351,2471,3058,531,3413,2833,755,129,1176,341,1268,2193,6677,325,6352
2007,west,All consumer units in the West,27059,68479,47.8,2.6,0.7,0.3,1.4,2,63,55873,6925,3982,504,860,448,743,1428,2942,503,19784,12725,8114,3845,766,3299,1151,709,1900,1965,9314,3236,2533,2832,713,2958,3327,686,140,930,246,1045,2121,5928,263,5665
2005,west,All consumer units in the West,26149,66452,47.4,2.6,0.7,0.3,1.4,2.1,63,55214,6745,3769,477,832,415,690,1356,2975,585,19064,12134,7887,3560,687,3013,1017,660,2240,2050,10112,4399,2282,2724,707,2751,2960,652,150,937,267,1033,1993,5917,315,5602
2010,south,Baltimore,944,92055,52.1,2.6,0.7,0.3,1.4,1.9,73,55363,6920,4061,614,927,375,727,1419,2859,372,20695,12946,8829,2921,1196,4424,1024,687,1615,1719,6606,1962,2401,1877,366,3283,2876,646,110,2173,260,456,1679,7567,380,7187
2010,south,Atlanta,2331,69914,46.7,2.6,0.7,0.2,1.3,1.7,69,49692,5798,3291,440,791,327,591,1143,2507,431,18448,10681,7301,2879,502,4348,1166,724,1528,1644,7998,2761,2645,2060,533,2724,2281,647,76,1064,167,724,1624,6067,235,5833
2004,west,All consumer units in the West,25872,60730,47,2.6,0.7,0.3,1.4,2.1,62,50305,6280,3580,467,843,406,635,1228,2701,517,16828,10480,6670,3231,579,2795,904,618,2030,1954,9498,4268,1966,2658,606,2602,2636,621,153,1039,239,910,1576,5451,343,5108
2006,west,All consumer units in the West,26800,67953,47.7,2.6,0.7,0.3,1.4,2.1,63,57124,6981,3918,489,864,425,725,1414,3063,576,20024,12806,8244,3766,796,3166,1148,738,2167,2091,10116,3976,2386,2992,762,2857,3234,665,142,894,256,1061,2312,5915,283,5632
2010,south,Houston,1992,67442,45.8,3,0.9,0.2,1.6,2,66,54659,6857,3702,478,802,358,717,1347,3155,430,18287,9925,6487,2853,585,4472,1483,620,1788,2218,9146,2542,3050,2975,578,3224,2642,784,132,1130,365,1125,2320,6000,319,5680
2011,midwest,"All consumer
units in the
Midwest",27345,63076,49.4,2.4,0.6,0.3,1.3,2,68,47903,6315,3874,550,794,415,712,1403,2441,412,14969,8470,5667,2218,585,3471,954,616,1459,1594,8361,3012,2673,2233,443,3733,2528,577,115,1137,353,786,1764,5259,316,4944
2011,northeast,"All consumer
units in the
Northeast",22498,71884,50.8,2.4,0.6,0.4,1.3,1.6,63,55215,6881,4077,598,890,446,805,1339,2804,513,19650,12153,7561,3752,840,4038,1351,619,1490,1869,8645,2790,2506,2566,783,3470,2678,631,132,1704,355,898,1803,5985,369,5615
2011,south,Baltimore,973,96902,51.1,2.6,0.7,0.3,1.3,1.8,72,62262,7904,4382,666,948,412,789,1567,3522,557,21031,12858,8584,3409,865,4307,1344,860,1661,1892,8532,2155,2921,2813,643,3706,3043,798,156,2494,159,588,2100,9303,526,8777
2011,south,Atlanta,2348,71163,48,2.6,0.7,0.2,1.3,1.8,67,51935,6068,3657,501,837,347,735,1237,2411,412,18043,10179,6575,3032,571,4283,1199,549,1832,1841,8769,3061,3025,2122,561,2957,2273,640,86,1564,152,666,1968,6498,336,6163
2011,south,"All consumer
units in the
South",45620,59511,50.2,2.5,0.6,0.3,1.2,1.9,67,46743,6069,3579,483,825,370,625,1276,2489,380,15126,8205,5128,2562,515,3799,999,588,1535,1639,8679,3080,2829,2417,353,3198,2379,617,85,767,378,663,1657,5107,351,4756
2011,west,"All consumer
units in the
West",27888,68760,49,2.6,0.6,0.3,1.3,2,59,55769,7217,4221,551,881,455,830,1504,2996,569,19237,12072,6941,4357,775,3433,1386,643,1702,1938,8886,2769,2697,2722,698,3507,2922,709,139,1252,259,968,2144,6023,301,5722
2011,south,Houston,2130,73523,45.2,2.9,0.9,0.2,1.5,1.9,65,58231,7272,3939,530,864,371,744,1431,3333,474,18547,10244,6787,2816,641,4318,1328,594,2063,2279,11811,4356,3542,3314,600,3187,2892,838,113,819,377,989,2120,6514,582,5931
2009,northeast,Boston-Manchester,2942,83851,50.1,2.4,0.6,0.3,1.4,1.7,66,63063,8066,4870,712,1017,502,932,1708,3195,644,20959,12866,8233,3639,994,4177,1540,631,1745,1854,9104,3324,2056,3061,663,4004,3738,707,193,2550,534,1063,1723,7925,410,7515
